 Number	Time[sec]	Conduct[uS]	TempWater[C]
    664	  5378.40	       1.36	      22.80	
    665	  5386.50	       1.35	      22.80	
    666	  5394.60	       1.34	      22.80	
    667	  5402.70	       1.34	      22.80	
    668	  5410.80	       1.33	      22.80	
    669	  5418.90	       1.33	      22.80	
    670	  5427.00	       1.32	      22.80	
    671	  5435.10	       1.31	      22.90	
    672	  5443.20	       1.31	      22.80	
    673	  5451.30	       1.30	      22.90	
    674	  5459.40	       1.30	      22.90	
    675	  5467.50	       1.29	      22.90	
    676	  5475.60	       1.28	      22.90	
    677	  5483.70	       1.28	      22.90	
    678	  5491.80	       1.28	      22.90	
    679	  5499.90	       1.27	      22.90	
    680	  5508.00	       1.27	      22.90	
    681	  5516.10	       1.26	      22.90	
    682	  5524.20	       1.26	      22.90	
    683	  5532.30	       1.25	      22.90	
    684	  5540.40	       1.25	      22.90	
    685	  5548.50	       1.24	      22.90	
    686	  5556.60	       1.24	      22.90	
    687	  5564.70	       1.23	      22.90	
    688	  5572.80	       1.22	      22.90	
    689	  5580.90	       1.22	      22.90	
    690	  5589.00	       1.21	      22.90	
    691	  5597.10	       1.21	      22.90	
    692	  5605.20	       1.20	      22.90	
    693	  5613.30	       1.20	      22.90	
    694	  5621.40	       1.19	      22.90	
    695	  5629.50	       1.19	      22.90	
    696	  5637.60	       1.19	      22.90	
    697	  5645.70	       1.18	      22.90	
    698	  5653.80	       1.18	      22.90	
    699	  5661.90	       1.17	      22.90	
