 #specbin	  lambda [nm]	  lampspec	  darkspec	  acidspec	  alkaspec	  absorbacid	  absorbalka
121.000000 	384.890015 	-0.027171 	97.601387 	2.393720 	3.118403 	-1.#IND00 	-1.#IND00 	
122.000000 	385.269989 	0.135677 	97.004166 	2.539311 	3.278125 	-2.929368 	-3.184747 	
123.000000 	385.640015 	0.121788 	96.943054 	2.663467 	3.316841 	-3.085101 	-3.304485 	
124.000000 	386.019989 	-0.029688 	97.250000 	2.511956 	3.168751 	-1.#IND00 	-1.#IND00 	
125.000000 	386.390015 	-0.139582 	97.645836 	2.465581 	3.148438 	-1.#IND00 	-1.#IND00 	
126.000000 	386.769989 	-0.068664 	97.444443 	2.438163 	3.097221 	-1.#IND00 	-1.#IND00 	
127.000000 	387.140015 	-0.034462 	97.280556 	2.529769 	3.128820 	-1.#IND00 	-1.#IND00 	
128.000000 	387.519989 	0.011806 	97.219444 	2.599578 	3.223785 	-5.394505 	-5.609712 	
129.000000 	387.890015 	0.029860 	97.451393 	2.494262 	3.190798 	-4.425226 	-4.671504 	
130.000000 	388.269989 	0.136285 	97.352776 	2.509723 	3.225869 	-2.913183 	-3.164213 	
131.000000 	388.640015 	0.160071 	97.380554 	2.535207 	3.339238 	-2.762414 	-3.037881 	
132.000000 	389.010010 	0.250002 	97.375000 	2.608153 	3.458855 	-2.344928 	-2.627223 	
133.000000 	389.390015 	0.330381 	97.330559 	2.735748 	3.493403 	-2.113912 	-2.358384 	
134.000000 	389.760010 	0.282900 	97.194443 	2.653382 	3.478473 	-2.238495 	-2.509254 	
135.000000 	390.140015 	0.391060 	97.047218 	2.729952 	3.599133 	-1.943179 	-2.219588 	
136.000000 	390.510010 	0.448872 	96.984718 	2.842452 	3.597571 	-1.845686 	-2.081277 	
137.000000 	390.890015 	0.376476 	97.130554 	2.839010 	3.464758 	-2.020357 	-2.219544 	
138.000000 	391.260010 	0.266407 	97.400002 	2.736413 	3.442187 	-2.329377 	-2.558836 	
139.000000 	391.630005 	0.426736 	97.313889 	2.783394 	3.480903 	-1.875260 	-2.098881 	
140.000000 	392.010010 	0.606163 	97.280556 	2.951509 	3.703820 	-1.582923 	-1.809971 	
141.000000 	392.380005 	0.710243 	97.094444 	3.160446 	3.907117 	-1.492861 	-1.704948 	
142.000000 	392.760010 	0.741752 	97.090279 	3.095048 	3.812326 	-1.428544 	-1.636980 	
143.000000 	393.130005 	0.683248 	97.109718 	3.014192 	3.749132 	-1.484230 	-1.702422 	
144.000000 	393.500000 	0.709462 	97.106941 	3.025664 	3.730035 	-1.450379 	-1.659666 	
