 #specbin	  lambda [nm]	  lampspec	  darkspec	  acidspec	  alkaspec	  absorbacid	  absorbalka
0.000000 	339.320007 	0.000000 	0.000000 	0.000000 	0.000000 	-1.#IND00 	-1.#IND00 	
157.000000 	398.359985 	25.515041 	95.636459 	6.055587 	5.416260 	1.438287 	1.549863 	
158.000000 	398.739990 	25.827168 	95.439583 	6.072349 	5.417481 	1.447681 	1.561796 	
159.000000 	399.109985 	25.717751 	95.256248 	6.125001 	5.356795 	1.434803 	1.568815 	
160.000000 	399.480011 	25.890041 	95.061455 	6.202178 	5.431477 	1.428958 	1.561647 	
161.000000 	399.859985 	26.105043 	95.017708 	6.258428 	5.526857 	1.428200 	1.552509 	
162.000000 	400.230011 	26.244501 	95.206253 	6.352842 	5.481251 	1.418554 	1.566123 	
163.000000 	400.600006 	26.226542 	95.098961 	6.359564 	5.618976 	1.416812 	1.540623 	
164.000000 	400.980011 	26.311666 	95.002083 	6.425189 	5.660417 	1.409786 	1.536515 	
165.000000 	401.350006 	26.452333 	94.985420 	6.492991 	5.805888 	1.404621 	1.516472 	
166.000000 	401.720001 	26.610542 	95.173958 	6.553882 	5.951584 	1.401250 	1.497650 	
167.000000 	402.100006 	26.647667 	95.427086 	6.547917 	5.907156 	1.403555 	1.506537 	
168.000000 	402.470001 	26.792248 	95.987503 	6.671589 	6.053259 	1.390254 	1.487516 	
169.000000 	402.839996 	26.541166 	95.564583 	6.660985 	6.039765 	1.382430 	1.480332 	
170.000000 	403.209991 	26.792707 	95.432297 	6.689298 	6.131838 	1.387621 	1.474635 	
171.000000 	403.589996 	26.989124 	95.215622 	6.789488 	6.345244 	1.380058 	1.447728 	
172.000000 	403.959991 	27.085833 	95.110420 	6.806629 	6.328713 	1.381114 	1.453914 	
173.000000 	404.329987 	27.464209 	95.351044 	6.936458 	6.466892 	1.376092 	1.446188 	
174.000000 	404.709991 	27.312750 	95.337502 	6.946590 	6.440217 	1.369103 	1.444792 	
175.000000 	405.079987 	27.624041 	95.173958 	7.162973 	6.617889 	1.349761 	1.428910 	
176.000000 	405.450012 	27.926790 	95.298958 	7.381155 	6.792346 	1.330656 	1.413790 	
177.000000 	405.829987 	28.162708 	95.588539 	7.607481 	7.101676 	1.308867 	1.377668 	
178.000000 	406.200012 	28.178291 	95.442711 	7.678882 	7.209466 	1.300078 	1.363157 	
179.000000 	406.570007 	28.424000 	95.212502 	7.694887 	7.254892 	1.306678 	1.365558 	
180.000000 	406.940002 	28.895750 	95.118752 	7.830113 	7.481249 	1.305717 	1.351295 	
181.000000 	407.320007 	29.515041 	96.380211 	8.211268 	7.973052 	1.279393 	1.308833 	
182.000000 	407.690002 	29.016459 	96.451042 	8.166003 	7.887002 	1.267884 	1.302647 	
183.000000 	408.059998 	29.124001 	95.668747 	8.239204 	7.865489 	1.262659 	1.309078 	
184.000000 	408.429993 	29.673208 	95.282288 	8.421685 	8.138904 	1.259434 	1.293589 	
185.000000 	408.809998 	30.332792 	95.517708 	8.711268 	8.483378 	1.247612 	1.274121 	
186.000000 	409.179993 	30.497208 	95.313545 	8.932481 	8.741893 	1.227941 	1.249508 	
187.000000 	409.549988 	31.048582 	95.210419 	9.119697 	9.028714 	1.225116 	1.235143 	
188.000000 	409.920013 	31.612457 	95.307289 	9.378503 	9.514447 	1.215131 	1.200740 	
189.000000 	410.299988 	31.937750 	95.224998 	9.627273 	9.715761 	1.199189 	1.190039 	
190.000000 	410.670013 	32.467457 	95.413544 	10.016004 	10.111458 	1.176054 	1.166569 	
191.000000 	411.040009 	33.067875 	95.259377 	10.323012 	10.513452 	1.164187 	1.145907 	
192.000000 	411.410004 	33.642750 	95.087502 	10.653410 	10.938044 	1.149918 	1.123551 	
193.000000 	411.790009 	34.106087 	95.054169 	10.894698 	11.218659 	1.141200 	1.111897 	
194.000000 	412.160004 	34.942585 	94.985413 	11.361743 	11.786323 	1.123454 	1.086766 	
195.000000 	412.529999 	36.010414 	95.295837 	11.926893 	12.538948 	1.105012 	1.054969 	
196.000000 	412.899994 	36.262749 	95.543747 	12.273865 	12.916576 	1.083319 	1.032279 	
197.000000 	413.279999 	37.105251 	95.468750 	12.551705 	13.438859 	1.083902 	1.015608 	
198.000000 	413.649994 	38.234669 	96.120834 	13.192802 	14.185688 	1.064071 	0.991509 	
199.000000 	414.019989 	38.573502 	95.900002 	13.362500 	14.607065 	1.060113 	0.971060 	
200.000000 	414.390015 	39.796165 	96.189583 	13.980301 	15.356068 	1.046121 	0.952260 	
201.000000 	414.760010 	40.934124 	96.040627 	14.609375 	16.180027 	1.030301 	0.928187 	
202.000000 	415.140015 	41.973541 	95.505211 	15.231154 	17.058922 	1.013697 	0.900366 	
203.000000 	415.510010 	43.448376 	95.265625 	15.825852 	17.952852 	1.009929 	0.883825 	
204.000000 	415.880005 	44.786251 	95.137497 	16.590908 	18.885870 	0.993046 	0.863487 	
205.000000 	416.250000 	46.530334 	95.297920 	17.597538 	20.198822 	0.972345 	0.834480 	
206.000000 	416.619995 	47.988667 	95.364586 	18.417803 	21.387049 	0.957647 	0.808179 	
207.000000 	417.000000 	49.298706 	95.219795 	19.163162 	22.385098 	0.944908 	0.789502 	
208.000000 	417.369995 	51.294750 	95.112503 	20.055681 	23.802174 	0.939076 	0.767812 	
209.000000 	417.739990 	53.541416 	95.402084 	21.338259 	25.407156 	0.919954 	0.745425 	
210.000000 	418.109985 	55.238293 	95.230209 	22.316950 	26.790987 	0.906310 	0.723591 	
211.000000 	418.480011 	57.826252 	95.331253 	23.677841 	28.765490 	0.892903 	0.698266 	
212.000000 	418.850006 	60.061127 	95.153122 	24.772446 	30.370789 	0.885631 	0.681881 	
213.000000 	419.230011 	63.251331 	95.079170 	26.446970 	32.818657 	0.871975 	0.656119 	
214.000000 	419.600006 	65.736748 	95.356247 	27.969318 	34.866577 	0.854550 	0.634129 	
215.000000 	419.970001 	67.500832 	95.235413 	28.901516 	36.267845 	0.848246 	0.621208 	
216.000000 	420.339996 	72.250252 	95.306252 	31.201706 	39.591579 	0.839663 	0.601519 	
217.000000 	420.709991 	75.728668 	95.445831 	33.010986 	42.453625 	0.830317 	0.578745 	
218.000000 	421.079987 	77.359543 	95.436455 	34.110703 	44.019520 	0.818853 	0.563831 	
219.000000 	421.450012 	82.423668 	96.564583 	37.000191 	48.124004 	0.800950 	0.538092 	
220.000000 	421.829987 	85.756172 	96.102081 	38.550190 	50.410416 	0.799547 	0.531310 	
221.000000 	422.200012 	90.231415 	95.839584 	40.763824 	54.083244 	0.794582 	0.511853 	
222.000000 	422.570007 	94.366333 	96.154167 	43.239582 	57.528984 	0.780428 	0.494895 	
223.000000 	422.940002 	100.763336 	95.622917 	45.883900 	61.939041 	0.786660 	0.486624 	
224.000000 	423.309998 	105.487663 	95.227081 	48.421211 	65.613678 	0.778656 	0.474810 	
225.000000 	423.679993 	108.408295 	95.561462 	50.680588 	68.555931 	0.760361 	0.458255 	
226.000000 	424.049988 	118.418671 	96.014580 	55.345078 	76.234871 	0.760638 	0.440407 	
227.000000 	424.420013 	122.040833 	95.529167 	56.977654 	79.020294 	0.761696 	0.434651 	
228.000000 	424.799988 	129.165756 	96.000000 	61.115341 	85.241302 	0.748333 	0.415610 	
229.000000 	425.170013 	136.841370 	95.678123 	64.515053 	90.796875 	0.751924 	0.410197 	
230.000000 	425.540009 	142.234833 	95.322914 	67.796974 	95.493385 	0.740962 	0.398423 	
231.000000 	425.910004 	150.201492 	96.324997 	72.134094 	102.645653 	0.733451 	0.380695 	
232.000000 	426.279999 	156.177460 	95.794792 	74.318848 	106.814987 	0.742629 	0.379895 	
233.000000 	426.649994 	162.944748 	95.218750 	77.686363 	112.457878 	0.740731 	0.370832 	
234.000000 	427.019989 	171.489044 	95.061462 	82.239677 	119.444519 	0.734881 	0.361667 	
235.000000 	427.390015 	182.623749 	95.706253 	88.431824 	129.070389 	0.725196 	0.347070 	
236.000000 	427.760010 	191.018799 	95.392708 	91.962975 	135.373596 	0.730986 	0.344334 	
237.000000 	428.130005 	200.257034 	95.061462 	96.723198 	142.984192 	0.727748 	0.336867 	
238.000000 	428.510010 	208.413712 	95.038544 	100.892708 	150.045700 	0.725468 	0.328585 	
239.000000 	428.880005 	213.705872 	94.940628 	103.417328 	154.518616 	0.725828 	0.324286 	
240.000000 	429.250000 	229.646713 	94.944794 	111.375092 	167.447052 	0.723639 	0.315875 	
241.000000 	429.619995 	244.960663 	94.964584 	119.138824 	180.173996 	0.720809 	0.307175 	
242.000000 	429.989990 	251.440414 	95.395836 	122.113258 	185.938950 	0.722257 	0.301787 	
243.000000 	430.359985 	262.729889 	95.278122 	127.489487 	195.634918 	0.723093 	0.294876 	
244.000000 	430.730011 	273.343964 	95.182289 	133.070557 	205.067169 	0.719851 	0.287394 	
245.000000 	431.100006 	282.333588 	95.066666 	137.265717 	212.890930 	0.721171 	0.282310 	
246.000000 	431.470001 	299.311584 	94.947914 	146.033340 	227.435776 	0.717650 	0.274617 	
247.000000 	431.839996 	308.651245 	94.949997 	150.511368 	236.208694 	0.718174 	0.267497 	
248.000000 	432.209991 	326.905945 	94.907288 	160.033615 	252.250320 	0.714289 	0.259251 	
249.000000 	432.579987 	338.707947 	95.051041 	166.009186 	262.939728 	0.713095 	0.253213 	
250.000000 	432.950012 	350.631042 	95.030205 	171.900467 	274.037720 	0.712819 	0.246469 	
251.000000 	433.320007 	369.159698 	95.363541 	181.657471 	290.353851 	0.709106 	0.240129 	
252.000000 	433.690002 	380.716583 	95.410416 	187.200943 	300.528168 	0.709873 	0.236514 	
253.000000 	434.059998 	398.128540 	95.680206 	196.264679 	316.079559 	0.707311 	0.230781 	
254.000000 	434.429993 	415.697998 	95.750000 	205.030685 	331.285858 	0.706800 	0.226977 	
255.000000 	434.799988 	432.291748 	95.312500 	213.138641 	346.010315 	0.707158 	0.222632 	
256.000000 	435.170013 	448.076782 	95.192711 	221.112976 	360.145325 	0.706291 	0.218457 	
