 Number	Time[sec]	Conduct[uS]	TempWater[C]
    464	  3765.08	      18.16	      23.10	
    465	  3773.18	      18.16	      23.10	
    466	  3781.28	      18.16	      23.10	
    467	  3789.38	      18.16	      23.10	
    468	  3797.48	      18.16	      23.10	
    469	  3805.58	      18.16	      23.10	
    470	  3813.68	      18.16	      23.10	
    471	  3821.78	      18.16	      23.10	
    472	  3829.88	      18.16	      23.10	
    473	  3837.98	      18.16	      23.10	
    474	  3846.08	      18.16	      23.10	
    475	  3854.18	      18.17	      23.10	
    476	  3862.28	      18.16	      23.10	
    477	  3870.38	      18.16	      23.10	
    478	  3878.48	      18.16	      23.10	
    479	  3886.58	      18.16	      23.10	
    480	  3894.68	      18.16	      23.10	
    481	  3902.78	      18.16	      23.10	
    482	  3910.88	      18.16	      23.10	
    483	  3918.98	      18.16	      23.10	
    484	  3927.08	      18.16	      23.10	
    485	  3935.18	      18.16	      23.10	
    486	  3943.28	      18.16	      23.10	
    487	  3951.38	      18.16	      23.10	
    488	  3959.48	      18.16	      23.10	
    489	  3967.58	      18.16	      23.10	
    490	  3975.68	      18.17	      23.10	
    491	  3983.78	      18.16	      23.10	
    492	  3991.88	      18.16	      23.10	
    493	  3999.98	      18.16	      23.10	
    494	  4008.08	      18.16	      23.10	
    495	  4016.18	      18.16	      23.10	
    496	  4024.28	      18.17	      23.10	
    497	  4032.38	      18.16	      23.10	
    498	  4040.48	      18.16	      23.10	
    499	  4048.58	      18.17	      23.10	
    500	  4056.68	      18.16	      23.10	
    501	  4064.78	      18.16	      23.10	
    502	  4072.88	      18.17	      23.10	
    503	  4080.98	      18.17	      23.10	
    504	  4089.08	      18.16	      23.10	
    505	  4097.18	      18.17	      23.10	
    506	  4105.28	      18.17	      23.10	
    507	  4113.38	      18.16	      23.10	
    508	  4121.48	      18.17	      23.10	
    509	  4129.58	      18.16	      23.10	
    510	  4137.68	      18.17	      23.10	
    511	  4145.78	      18.16	      23.10	
    512	  4153.88	      18.17	      23.10	
    513	  4161.98	      18.17	      23.10	
    514	  4170.08	      18.17	      23.10	
    515	  4178.18	      18.17	      23.10	
    516	  4186.28	      18.17	      23.10	
    517	  4194.38	      18.17	      23.10	
    518	  4202.48	      18.17	      23.10	
    519	  4210.58	      18.17	      23.10	
    520	  4218.68	      18.17	      23.10	
    521	  4226.78	      18.17	      23.10	
    522	  4234.88	      18.17	      23.10	
    523	  4242.98	      18.17	      23.10	
    524	  4251.08	      18.17	      23.10	
    525	  4259.18	      18.17	      23.10	
    526	  4267.28	      18.17	      23.10	
    527	  4275.38	      18.17	      23.10	
    528	  4283.48	      18.17	      23.10	
    529	  4291.58	      18.17	      23.10	
    530	  4299.68	      18.17	      23.10	
    531	  4307.78	      18.17	      23.10	
    532	  4315.88	      18.17	      23.10	
    533	  4323.98	      18.17	      23.10	
    534	  4332.08	      18.17	      23.10	
    535	  4340.18	      18.17	      23.10	
    536	  4348.28	      18.17	      23.10	
    537	  4356.38	      18.17	      23.10	
    538	  4364.48	      18.17	      23.10	
    539	  4372.58	      18.17	      23.10	
    540	  4380.68	      18.18	      23.10	
    541	  4388.78	      18.18	      23.10	
    542	  4396.88	      18.17	      23.10	
    543	  4404.98	      18.18	      23.10	
    544	  4413.08	      18.18	      23.20	
    545	  4421.18	      18.18	      23.20	
    546	  4429.28	      18.18	      23.20	
    547	  4437.38	      18.18	      23.20	
    548	  4445.48	      18.18	      23.20	
    549	  4453.58	      18.18	      23.20	
    550	  4461.68	      18.18	      23.20	
    551	  4469.78	      18.18	      23.20	
    552	  4477.88	      18.17	      23.20	
    553	  4485.98	      18.18	      23.20	
    554	  4494.08	      18.18	      23.20	
    555	  4502.18	      18.18	      23.20	
    556	  4510.28	      18.18	      23.20	
    557	  4518.38	      18.18	      23.20	
    558	  4526.48	      18.18	      23.20	
    559	  4534.58	      18.18	      23.20	
    560	  4542.68	      18.18	      23.20	
    561	  4550.78	      18.18	      23.20	
    562	  4558.88	      18.18	      23.20	
    563	  4566.98	      18.18	      23.20	
    564	  4575.08	      18.18	      23.20	
    565	  4583.18	      18.18	      23.20	
    566	  4591.28	      18.18	      23.20	
    567	  4599.38	      18.18	      23.20	
    568	  4607.48	      18.18	      23.20	
    569	  4615.58	      18.18	      23.20	
    570	  4623.68	      18.19	      23.20	
    571	  4631.78	      18.18	      23.20	
    572	  4639.88	      18.19	      23.20	
    573	  4647.98	      18.19	      23.20	
    574	  4656.08	      18.19	      23.20	
    575	  4664.18	      18.19	      23.20	
    576	  4672.28	      18.19	      23.20	
    577	  4680.38	      18.19	      23.20	
    578	  4688.48	      18.19	      23.20	
    579	  4696.58	      18.19	      23.20	
    580	  4704.68	      18.19	      23.20	
    581	  4712.78	      18.19	      23.20	
    582	  4720.88	      18.19	      23.20	
    583	  4728.98	      18.19	      23.20	
    584	  4737.08	      18.19	      23.20	
    585	  4745.18	      18.19	      23.20	
    586	  4753.28	      18.20	      23.20	
    587	  4761.38	      18.19	      23.20	
    588	  4769.48	      18.20	      23.20	
    589	  4777.58	      18.20	      23.20	
    590	  4785.68	      18.19	      23.20	
    591	  4793.78	      18.19	      23.20	
    592	  4801.88	      18.19	      23.20	
    593	  4809.98	      18.19	      23.20	
    594	  4818.08	      18.19	      23.20	
    595	  4826.18	      18.20	      23.20	
    596	  4834.28	      18.20	      23.20	
    597	  4842.38	      18.20	      23.20	
    598	  4850.48	      18.20	      23.20	
    599	  4858.58	      18.20	      23.20	
    600	  4866.68	      18.21	      23.20	
    601	  4874.78	      18.20	      23.20	
    602	  4882.88	      18.20	      23.20	
    603	  4890.98	      18.20	      23.20	
    604	  4899.08	      18.20	      23.20	
